,track_id,album
0,2972914,7
0,2750239,8
0,1550729,9
0,2169950,9
0,2256817,9
0,2561768,26
0,474864,22
0,1378455,22
0,1523190,22
0,1373492,22
0,3387498,31
0,699524,26
0,2438345,22
0,47604,38
0,2721759,39
0,2169517,68
0,3521362,105
0,3266139,105
0,1184201,105
0,3056035,105
0,808769,105
0,3719527,105
0,1660078,105
0,1362023,105
0,2862472,105
0,1360712,128
0,1605090,129
0,2244422,130
0,677100,135
0,1323515,135
0,1035755,135
0,2083485,140
0,3034586,135
0,1707413,140
0,1538988,140
0,583328,135
0,3508086,140
0,2146584,135
0,1045005,135
0,1999944,135
0,580384,140
0,1337203,141
0,2618273,135
0,1159000,140
0,3305034,140
0,1440701,140
0,2823949,140
0,475090,140
0,242668,144
0,1898597,145
0,1325626,152
0,2543959,164
0,641542,166
0,2543930,166
0,822749,166
0,3019696,161
0,2855760,167
0,2834303,166
0,1492670,166
0,3287874,166
0,1229743,166
0,2060521,161
0,2130539,225
0,3718325,225
0,395949,225
0,1242801,226
0,2525237,226
0,2976069,225
0,3212352,226
0,1843188,226
0,2971792,225
0,2677014,226
0,2146496,226
0,1134966,226
0,422388,226
0,1649766,226
0,204775,225
0,1818866,242
0,3724662,242
0,2302871,242
0,1447233,242
0,2332117,255
0,113446,258
0,822485,258
0,3159871,258
0,1038937,256
0,662050,258
0,3669470,258
0,3496427,258
0,109749,255
0,2287323,255
0,843938,258
0,3442569,258
0,3763749,258
0,2137439,280
0,1604664,280
0,874506,301
0,3346157,307
0,600651,307
0,674938,320
0,3669583,323
0,1689313,323
0,1820693,324
0,2608942,319
0,3075771,322
0,727216,319
0,1077365,322
0,98045,319
0,2683383,328
0,2314533,323
0,2209189,352
0,3626929,385
0,958224,401
0,856487,406
0,1421746,420
0,3123943,427
0,1299801,421
0,438475,425
0,592548,426
0,2830054,425
0,2394660,427
0,172523,427
0,2537795,427
0,2536148,421
0,2410193,446
0,2785975,456
0,1378515,456
0,1180774,456
0,1461949,465
0,2939533,465
0,2425330,474
0,2189424,485
0,852629,487
0,2467314,487
0,3481176,487
0,619770,487
0,1122295,487
0,3329280,535
0,3711147,537
0,1134624,543
0,2691858,542
0,611173,629
0,2834818,636
0,3103312,632
0,1298815,630
0,1911261,636
0,2695959,636
0,3231552,632
0,3281330,643
0,3583367,647
0,966914,647
0,3282368,643
0,2674608,657
0,2868480,647
0,2128726,653
0,616834,662
0,2015649,643
0,3330793,647
0,2845111,643
0,2939460,643
0,2273154,643
0,2935789,647
0,1223725,676
0,1500497,657
0,1210518,643
0,3552484,662
0,2104843,643
0,1144906,643
0,3522899,647
0,459139,662
0,1670078,647
0,3441970,663
0,2955150,643
0,888024,684
0,2368386,647
0,3709740,643
0,448632,643
0,1316193,643
0,3174494,662
0,3066606,712
0,3782494,703
0,1764942,716
0,3114581,722
0,148926,716
0,1506591,721
0,3036072,728
0,2904108,721
0,162447,744
0,1387884,756
0,2725750,769
0,2608966,769
0,4587717,773
0,889016,774
0,2789812,769
0,1810234,769
0,49112,769
0,644412,769
0,195815,777
0,1231596,778
0,3241616,769
0,150823,781
0,4820180,769
0,2795060,784
0,2528845,785
0,3075816,769
0,2576806,769
0,925951,789
0,1873642,790
0,3550269,792
0,1813193,793
0,1885453,790
0,632650,794
0,3711350,793
0,3362081,789
0,2143751,796
0,2186252,789
0,3439525,797
0,224662,794
0,1251470,792
0,1174646,790
0,1073869,797
0,3147458,787
0,3732204,787
0,2410015,805
0,844213,806
0,961472,792
0,163138,792
0,3502106,791
0,3471271,792
0,2588087,799
0,1290489,807
0,1708016,824
0,3180122,853
0,2690837,853
0,3312014,854
0,522184,854
0,276302,854
0,1670045,853
0,2830025,851
0,1715371,853
0,3007412,902
0,1961796,902
0,3433990,904
0,2182123,904
0,3673293,902
0,905838,902
0,1421414,902
0,1852017,904
0,3064881,902
0,1531063,904
0,367068,908
0,104537,904
0,3274869,908
0,149312,904
0,3545653,904
0,1294040,904
0,1059665,908
0,473748,904
0,2378030,902
0,2847458,902
0,3031467,908
0,3783253,904
0,3743234,902
0,295920,902
0,3340943,908
0,2660284,902
0,1597239,903
0,2009786,908
0,2184648,879
0,648053,931
0,3147717,936
0,1822032,950
0,1452017,961
0,2479288,961
0,2207106,978
0,243242,976
0,3131838,978
0,2012467,978
0,2158921,976
0,2256913,978
0,2465700,978
0,3460497,985
0,2974543,978
0,903374,976
0,435361,998
0,3590902,1027
0,3427416,1029
0,3825648,1042
0,166424,1042
0,3159797,1053
0,2374486,1053
0,3008011,1062
0,99270,1063
0,2936717,1063
0,3080296,1063
0,2056432,1091
0,819534,1094
0,2488686,1091
0,1187132,1091
0,254532,1094
0,3279215,1098
0,3130281,1094
0,3628442,1091
0,655324,1094
0,160347,1123
0,2924237,1126
0,3440239,1141
0,1201198,1141
