,playlist_id,title
0,644838,12727
0,3120683,183
0,4278112,12389
1,4278112,18698
2,4278112,18925
3,4278112,11695
4,4278112,7117
0,8656823,12809
1,8656823,2095
2,8656823,13257
3,8656823,12671
4,8656823,20426
5,8656823,14448
6,8656823,18698
0,10961458,7194
1,10961458,3225
2,10961458,9438
3,10961458,13502
4,10961458,11695
0,5527068,19505
0,2940714,12323
0,3128020,12111
1,3128020,4776
2,3128020,14448
0,8373436,9922
1,8373436,14448
0,4809636,7107
1,4809636,14343
0,8583262,2410
1,8583262,16169
0,11280190,3628
0,5618648,14888
0,2995278,12636
1,2995278,17985
2,2995278,660
0,689943,19676
0,6851716,12532
0,4242746,13864
1,4242746,16768
2,4242746,16557
0,10030096,13864
1,10030096,16768
2,10030096,16557
0,7541178,19676
0,3792227,7802
0,3357671,12210
1,3357671,15789
2,3357671,7489
0,968660,17427
1,968660,3570
2,968660,12210
0,8290378,15818
1,8290378,14697
2,8290378,16484
3,8290378,12636
0,6658214,6728
1,6658214,18870
2,6658214,1015
3,6658214,4963
0,7692,10536
1,7692,6728
0,8542111,16596
1,8542111,17555
2,8542111,5188
0,10717705,13082
1,10717705,1620
2,10717705,18783
3,10717705,14425
0,10738369,9742
1,10738369,13765
2,10738369,20615
0,11718706,6728
0,7835728,19676
0,752826,14282
0,4405588,14193
1,4405588,12636
0,5596886,20624
0,4736450,3847
1,4736450,8059
0,8659925,16464
1,8659925,6945
2,8659925,2287
0,6945613,502
0,62002,13045
0,6913397,19
1,6913397,10285
0,316655,13091
1,316655,8861
2,316655,4199
3,316655,12636
4,316655,7194
0,11638733,19676
0,3787511,19676
0,10125821,19676
0,5834353,13637
1,5834353,962
2,5834353,8059
0,8957175,12995
0,5200714,19676
0,69141,10936
1,69141,16570
0,8302787,17544
0,5403070,3624
0,5574396,750
0,11046127,19112
0,5737960,903
1,5737960,4986
2,5737960,4578
3,5737960,18783
0,4513084,19676
0,6424282,19676
0,4302497,15713
0,7968821,19676
0,3653750,462
1,3653750,14448
0,7212087,15673
0,8536217,17199
0,11254359,2248
1,11254359,2853
0,11598851,19004
0,10284830,2442
1,10284830,3782
0,11734413,4799
0,5894532,934
0,11569474,20724
1,11569474,15075
0,5358175,11914
1,5358175,4791
2,5358175,16425
3,5358175,13540
0,2405171,8528
1,2405171,11914
0,5263971,9163
1,5263971,15818
0,5555174,18808
1,5555174,11914
0,2059686,15050
1,2059686,11914
2,2059686,4791
0,10389264,14881
1,10389264,11914
0,1009374,5625
0,8959519,9581
0,89202,12719
1,89202,12636
0,1213400,19676
0,2385206,1036
0,4262074,7938
1,4262074,15282
0,5757366,15696
0,8552121,20654
0,3087309,5139
1,3087309,20820
2,3087309,5293
0,5133097,6148
1,5133097,13934
2,5133097,1906
0,3054426,19676
0,11179709,18563
1,11179709,5754
2,11179709,19003
3,11179709,11761
4,11179709,18925
0,5832987,12416
1,5832987,10903
2,5832987,18925
0,6935411,7401
1,6935411,20387
2,6935411,18698
0,7311453,5465
0,5782763,983
1,5782763,12995
0,10523004,19676
0,8885510,20686
0,7495004,19676
0,531971,19676
0,3934009,11931
0,11557834,19676
0,7826038,12804
0,7717916,12999
0,3227938,10903
1,3227938,18925
0,10315423,19676
0,5830321,12189
1,5830321,3420
0,4205165,19676
0,2227388,10936
1,2227388,16570
0,3119626,840
1,3119626,6101
2,3119626,6965
3,3119626,11095
0,5111050,20880
1,5111050,2113
2,5111050,6965
3,5111050,11095
0,7754824,1757
1,7754824,18132
0,6594497,20843
0,10023275,19676
0,4093867,19676
0,10329084,19676
0,6487605,11235
1,6487605,8942
0,4419757,13631
1,4419757,16938
0,6632250,1445
0,6624362,17276
0,10721999,611
0,4154836,5684
0,3325234,17654
0,6146154,19676
0,8949178,19676
0,3129397,19676
0,4459015,6695
0,6102408,16548
0,4078566,5928
0,11466005,19089
0,1883865,19676
0,10668600,9147
0,10783845,15282
0,8738837,15558
1,8738837,12988
2,8738837,10959
3,8738837,18874
4,8738837,2287
5,8738837,18698
0,8774328,3179
0,2967562,4777
1,2967562,15035
2,2967562,13257
0,5540492,17180
1,5540492,3806
2,5540492,12988
3,5540492,18698
0,6818369,766
1,6818369,18694
2,6818369,13595
3,6818369,18698
0,1813346,8520
1,1813346,10819
2,1813346,9857
0,11634997,2861
1,11634997,9857
0,10030130,17892
1,10030130,15926
2,10030130,10819
0,6029242,19676
0,10514804,15286
0,8821552,8932
1,8821552,20531
0,4978059,9823
0,3219420,10813
0,4935981,16537
1,4935981,12189
0,6402505,13455
1,6402505,12189
0,6337240,16661
1,6337240,12189
0,4559261,15152
1,4559261,12189
0,8839638,16620
1,8839638,12189
0,8271031,15115
1,8271031,12189
0,10021325,18640
1,10021325,12189
0,8143876,18041
1,8143876,12189
0,3741105,4300
0,5659611,16291
1,5659611,19593
0,6213126,19676
0,3570846,12237
0,7108554,18943
0,2844185,4932
1,2844185,862
0,8354924,19676
0,8705505,15272
0,104443,19676
0,6467097,2400
0,10057711,20569
0,10102015,13134
0,7327456,5513
1,7327456,13482
2,7327456,5088
0,10195021,11444
1,10195021,11504
0,7541639,16330
0,5252269,6953
1,5252269,4323
2,5252269,13482
0,5437612,7226
1,5437612,4659
0,241673,2730
1,241673,5151
0,8982948,2194
0,7072753,4243
1,7072753,3245
0,3433494,5904
0,2716478,3092
0,10766768,5947
0,11603623,10819
1,11603623,17427
2,11603623,18925
0,6641337,7914
0,7541257,18402
1,7541257,4659
0,6874908,19676
0,6856396,14425
